346752,2993520,0.12688720,2358646449,711
346753,2370376,0.15346359,2636476877,1061
346754,2996824,0.26452481,3444815843,1827
346755,3999580,0.14808325,1208267322,792
346756,994616,0.03761191,4144704427,272
346757,1012,0.00000000,909772869,1
346758,1958388,0.11601605,1748312155,896
346759,588860,0.02448607,405401480,212
346760,3172800,0.17406362,3116827432,1252
346761,1502780,0.09946966,3937288777,669
346762,1223904,0.07537121,1781090586,559
346763,2996544,0.18888996,887781411,1137
346764,757704,0.02365698,248758793,314
346765,1648712,0.10172568,1534181081,705
346766,982916,0.05603798,4159707557,387
346767,331300,0.01782112,1742613657,127
346768,2896844,0.21427038,335008288,918
346769,808752,0.05075578,857643798,370
346770,2845592,0.16830958,385278231,1252
346771,408072,0.02274955,664695479,169
346772,309744,0.02125279,2932496351,186
346773,640168,0.05236124,891348624,367
346774,2996232,0.22537179,3757614782,1700
346775,3988812,0.26163450,2770955795,1736
346776,2996500,0.20177545,1985467629,1275
346777,2764728,0.12564766,706092722,1147
346778,2273468,0.11668605,2389593043,795
346779,1076028,0.06238154,3289699865,492
346780,2825208,0.18875172,1803474290,1141
346781,604596,0.05344009,496146943,379
346782,2685804,0.16013067,3128064371,1065
346783,3999640,0.28452511,2786039219,1861
346784,585920,0.05109845,2595665724,314
346785,659488,0.06280679,2819305518,512
346786,2996192,0.11837952,3587181625,947
346787,2517448,0.10724024,1619041577,817
346788,790124,0.06950938,4083470149,493
346789,2337256,0.10696785,3239627619,797
346790,491968,0.01951216,48582191,156
346791,87036,0.01018340,980642440,64
346792,506908,0.01523080,3468563295,124
346793,1943504,0.11676476,1835127515,839
346794,2559240,0.14356576,200840320,1053
346795,1033320,0.05188133,611346264,387
346796,258204,0.00360457,3525667955,40
346797,508472,0.03811403,94155472,264
346798,338856,0.02003909,121340625,173
346799,390724,0.01750525,3774115568,183
346800,747128,0.01079822,3492194449,90
346801,927256,0.05400642,2019193374,430
346802,1149200,0.04870624,2886254508,357
346803,2409796,0.13330237,438620069,1001
346804,1079664,0.07057150,4140514351,493
346805,97796,0.00184736,3623695800,30
346806,1978692,0.12325720,831547222,973
346807,389696,0.02300103,3384446186,201
346808,950784,0.05146223,3344052241,389
346809,123724,0.00521525,96167030,60
346810,1276672,0.07155240,1399799294,510
346811,848472,0.03945169,3473748223,312
346812,2829228,0.11036381,1694713108,772
346813,326228,0.02840483,53456957,218
346814,594120,0.06574271,3736249673,512
346815,2996512,0.13087927,2710195686,871
346816,1676728,0.07665788,2459127459,675
346817,745020,0.04616991,1436011394,323
346818,2043288,0.13027392,897904547,886
346819,745956,0.03812060,269901444,274
346820,1570120,0.08476403,2506935017,683
346821,1381376,0.10271565,1878552782,513
346822,581720,0.02896291,2797760881,194
346823,816,0.00000000,2764578366,1
346824,384668,0.04895089,363832075,256
346825,1597844,0.15352375,229007147,788
346826,2989312,0.16324330,2755223538,1012
346827,1586856,0.08413046,1692197450,545
346828,693040,0.07154670,4229544107,512
346829,1961236,0.09292625,1104371727,663
346830,2556140,0.14398910,2403173152,1074
346831,1079528,0.05444093,2289921454,407
346832,1141740,0.06142564,2010204091,420
346833,623684,0.02693761,3729184393,210
346834,1092152,0.05236081,514352919,350
346835,399680,0.01652706,3289407822,140
346836,177056,0.00505000,3770516305,64
346837,2996584,0.28726671,2373001835,1318
346838,575268,0.05416515,4240516707,297
346839,1393936,0.09135093,117174365,622
346840,2975456,0.08473075,1084178826,576
346841,727932,0.06469419,2987551065,437
346842,2362840,0.11406228,3463276337,849
346843,175964,0.02229577,181748074,128
346844,1383004,0.04094379,2082325185,354
346845,2790068,0.20116245,1441360038,1298
346846,2145336,0.08642925,2069348966,759
346847,2996880,0.21114170,30996938,1413
346848,2520568,0.15119765,4136002588,937
346849,179032,0.01550662,996163442,128
346850,1338096,0.04826324,3109875393,440
346851,2996756,0.26065133,4287519072,1976
346852,597264,0.07154821,1233910317,512
346853,3999200,0.18923280,4101472306,1331
346854,1745032,0.06135011,2406778264,569
346855,223712,0.00801361,3150003950,98
346856,2352320,0.14864204,2082964305,1024
346857,2996112,0.20645414,3404497883,1300
346858,1971880,0.08869719,936911222,740
346859,3596904,0.30738448,3021208780,2310
346860,2996376,0.13770118,56833454,1120
346861,3550992,0.23572404,1354273195,1578
346862,1583428,0.09297085,4011834772,621
346863,2585044,0.17483721,1256216338,1221
346864,2996612,0.21290080,542538309,1544
346865,207012,0.01428587,1812269492,36
346866,3596620,0.28237381,881397749,2027
346867,3716980,0.13139603,2557985108,1055
346868,3999832,0.32312661,792810247,2116
346869,2996356,0.22014475,4190515024,1662
346870,2996640,0.13110291,770776499,853
346871,2274508,0.15176669,1509237797,893
346872,3456028,0.18318989,3076544314,905
346873,1865104,0.05987443,1810841494,219
346874,1008,0.00000000,455399541,1
346875,2896524,0.13381468,2425755868,723
346876,1975260,0.10739745,198163373,679
346877,2107600,0.11520664,3091489282,877
346878,1355784,0.16135094,4103937559,1024
346879,1309768,0.11599413,243771063,769
346880,2996728,0.29546873,2578163878,2390
346881,2996232,0.26534962,3904757106,1942
346882,2996764,0.22704127,2553438242,1596
346883,3596640,0.18075234,3045075864,1319
346884,2359952,0.07660724,2817731853,423
346885,3596128,0.22980436,3426330266,1407
346886,490924,0.04402797,885413213,224
346887,2996744,0.14190284,2629343537,789
346888,3603244,0.35003654,427641218,1422
346889,3999836,0.42854957,1499388392,1182
346890,3999260,0.19407290,3680137307,1646
346891,2067876,0.10101323,3576442465,986
346892,799972,0.04679743,2665528595,285
346893,366424,0.01158674,2211266409,109
346894,2996932,0.26539894,2635747339,1577
346895,1151848,0.04793093,666638169,383
346896,2088400,0.19147466,1170825787,1019
346897,2996912,0.26597694,4100244952,1910
346898,2996080,0.19171254,278660383,1013
346899,729792,0.06426188,3869828599,443
346900,920,0.00000000,279429655,1
346901,196568,0.02407305,1647560459,210
346902,2996316,0.17555141,3505794449,1297
346903,2996732,0.17461977,3215321327,1484
