block_number,background_color_index,wave_color_index,is_glitch,has_echo,echo_count
346903,#FFA500,#00CCFF,false,true,4
346904,#edebeb,#FF0066,false,true,5
346905,#edebeb,#00CCFF,false,true,5
346906,#9370DB,#00CCFF,false,true,4
346907,#CC0033,#FF0066,false,true,6
346908,#ADFF2F,#00CCFF,false,true,4
346909,#CC0033,#00CCFF,false,true,5
346910,#FFA500,#9900FF,false,true,3
346911,#CC0033,#FF0066,false,true,5
346912,#FFA500,#FF0066,false,true,5
346913,#edebeb,#FF0066,false,true,6
346914,#555555,#FF0066,false,true,5
346915,#9370DB,#FF0066,false,true,5
346916,#edebeb,#FF0066,false,true,6
346917,#edebeb,#00CCFF,false,true,4
346918,#00FFFF,#FF0066,false,true,5
346919,#CC0033,#FF0066,false,true,6
346920,#edebeb,#FF0066,false,true,6
346921,#555555,#FF0066,false,true,6
346922,#CC0033,#FF0066,false,true,5
346923,#008080,#00CCFF,false,true,4
346924,#CC0033,#FF0066,false,true,6
346925,#00FFFF,#00CCFF,false,true,5
346926,#555555,#FF0066,false,true,5
346927,#00FFFF,#00CCFF,false,true,5
346928,#9370DB,#FF0066,false,true,6
346929,#ADFF2F,#0000FF,false,true,
346930,#9370DB,#FF0066,false,true,6
346931,#edebeb,#00CCFF,false,true,3
346932,#FFA500,#00CCFF,false,true,5
346933,#ADFF2F,#00CCFF,false,true,5
346934,#edebeb,#00CCFF,false,true,4
346935,#FFA500,#00CCFF,false,true,3
346936,#edebeb,#00CCFF,false,true,4
346937,#ADFF2F,#FF0066,false,true,5
346938,#9370DB,#9900FF,false,true,3
346939,#CC0033,#00CCFF,false,true,6
346940,#9370DB,#00CCFF,false,true,4
346941,#FFA500,#FF0066,false,true,5
346942,#555555,#00CCFF,false,true,5
346943,#008080,#FF0066,false,true,6
346944,#9370DB,#FF0066,true,true,6
346945,#edebeb,#FF0066,false,true,4
346946,#00FFFF,#FF0066,false,true,6
346947,#008080,#00CCFF,false,true,4
346948,#9370DB,#FF0066,false,true,5
346949,#CC0033,#FF0066,false,true,6
346950,#00FFFF,#00CCFF,false,true,4
346951,#9370DB,#9900FF,false,true,3
346952,#008080,#00CCFF,false,true,4
346953,#ADFF2F,#FF6600,false,true,4
346954,#555555,#FF0066,false,true,6
346955,#edebeb,#FF0066,true,true,6
346956,#CC0033,#FF0066,false,true,6
346957,#008080,#FF0066,true,true,6
346958,#edebeb,#FF0066,false,true,5
346959,#FFA500,#FF0066,false,true,5
346960,#edebeb,#00CCFF,false,true,4
346961,#555555,#9900FF,false,true,3
346962,#555555,#FF0066,true,true,6
346963,#edebeb,#00CCFF,false,true,4
346964,#00FFFF,#FF0066,true,true,6
346965,#555555,#FF0066,false,true,5
346966,#9370DB,#FF0066,true,true,6
346967,#00FFFF,#FF0066,false,true,4
346968,#FFA500,#FF0066,false,true,6
346969,#555555,#00CCFF,false,true,5
346970,#FFA500,#FF0066,false,true,5
346971,#ADFF2F,#FF0066,false,true,6
346972,#008080,#FF0066,false,true,6
346973,#ADFF2F,#FF0066,false,true,6
346974,#008080,#FF0066,true,true,6
346975,#CC0033,#9900FF,false,true,4
346976,#edebeb,#00CCFF,false,true,4
346977,#555555,#FF0066,false,true,6
346978,#008080,#9900FF,false,true,3
346979,#FFA500,#00CCFF,false,true,5
346980,#CC0033,#FF0066,false,true,4
346981,#00FFFF,#FF0066,false,true,6
346982,#555555,#FF0066,false,true,5
346983,#555555,#FF0066,false,true,6
